Table 1
,Bike No,Probability,Starting SoC,,,Random,,Normal,,ninety,Normal1,Random1,Random Data 1,Random Data 2,Random Data 3,Random Data 4,Random Data 5,Random Data 6,Random Data 7,Random Data 8,Random Data 9,Random Data 10,Random Data 11,5% change A,5% change B,5% change C
0.5,1,0.5,83.00,0.00,,81,,84,,90,83,77,92,80,85,89,86,77,74,83,76,82,89,74,97,81
0.5,2,0.6,113.00,0.00,,85,,86,,90,85,76,82,85,87,92,90,73,91,76,89,73,76,72,70,93
0.4,3,0.6,97.00,0.00,,85,,85,,90,84,76,75,74,77,78,84,85,93,76,82,82,86,87,83,77
0.4,4,0.5,84.00,0.00,,75,,84,,90,83,92,92,74,73,74,78,78,86,76,89,83,78,96,88,91
0.5,5,0.5,92.00,0.00,,83,,84,,90,84,77,89,73,90,83,86,81,74,81,86,73,74,91,73,93
0.4,6,0.4,73.00,0.00,,80,,83,,90,82,78,83,88,82,79,82,75,79,80,91,86,86,73,87,83
0.3,7,0.6,110.00,0.00,,77,,86,,90,85,84,90,78,76,75,86,93,79,91,90,77,81,89,96,86
0.6,8,0.4,57.00,0.00,,77,,82,,90,81,75,80,91,76,87,92,89,90,85,75,89,92,69,70,91
0.6,9,0.5,87.00,0.00,,91,,84,,90,83,92,75,92,80,90,93,91,90,86,90,84,79,74,68,73
0.6,10,0.5,82.00,0.00,,77,,84,,90,83,83,91,92,93,92,79,91,89,86,90,83,92,90,88,72
0.5,11,0.4,68.00,0.00,,77,,83,,90,82,86,82,84,91,92,79,77,85,77,88,75,79,68,72,82
0.5,12,0.5,84.00,0.00,,82,,84,,90,83,91,77,85,89,87,88,91,84,84,74,83,77,77,78,89
0.5,13,0.4,70.00,0.00,,90,,83,,90,82,77,88,87,93,93,89,74,79,79,76,82,77,90,82,95
0.5,14,0.3,43.00,0.00,,85,,81,,90,80,83,85,86,76,88,83,82,88,92,74,74,80,82,76,88
0.4,15,0.5,90.00,0.00,,90,,84,,90,83,92,91,80,77,91,73,76,90,89,89,75,84,72,96,71
