random data 1,200,200,8.03,8.03,47.1,47.1,57.0
Random Data 2,200,200,7.97,7.97,47.14,47.14,57.0
Random Data 3,200,200,8.37,8.37,46.96,46.96,57.0
Random Data 4,200,200,8.01,8.01,47.22,47.22,57.0
Random Data 5,200,200,7.82,7.82,47.46,47.46,57.0
Random Data 6,200,200,8.58,8.58,46.7,46.7,57.0
Random Data 7,200,200,8.41,8.41,46.86,46.86,57.0
Random Data 8,200,200,8.15,8.15,47.02,47.02,57.0
Random Data 9,200,200,8.3,8.3,46.82,46.82,57.0
Random Data 10,200,200,8.46,8.46,46.61,46.61,57.0
5% change A,200,200,10.07,10.07,46.32,46.32,57.0
5% change B,200,200,9.4,9.4,47.12,47.12,57.0
5% change C,200,200,9.74,9.74,46.43,46.43,57.0
