random data 1,165,35,165,7.16,2.1,5.31,46.42,39.57,37.48,57.55
Random Data 2,163,37,163,7.12,2.27,5.26,46.31,39.27,37.48,57.21
Random Data 3,162,38,162,6.51,2.28,5.82,45.81,40.0,37.25,57.04
Random Data 4,157,43,157,6.57,2.06,5.48,45.69,39.42,37.45,56.19
Random Data 5,154,46,154,6.66,2.39,5.44,45.62,39.5,37.7,55.68
Random Data 6,166,34,166,6.69,2.24,5.9,46.02,39.76,37.03,57.72
Random Data 7,160,40,160,6.39,2.21,5.8,45.62,39.28,37.07,56.7
Random Data 8,163,37,163,6.84,2.4,5.46,46.12,39.51,37.34,57.21
Random Data 9,162,38,162,6.65,1.87,5.55,45.9,38.92,37.07,57.04
Random Data 10,172,28,172,7.04,2.42,5.54,46.58,39.64,37.06,58.74
5% change A,163,37,163,5.83,3.26,8.05,44.73,41.86,36.49,57.21
5% change B,156,44,156,6.14,3.7,7.76,44.79,41.75,37.31,56.02
5% change C,160,40,160,5.91,3.11,7.66,44.74,40.7,36.54,56.7
