random data 1,93,107,93,107,1.02,8.24,8.82,2.05,49.58,38.39,36.16,48.89,64.62
Random Data 2,82,118,82,118,1.09,8.67,8.2,1.91,49.55,38.25,35.79,49.08,64.75
Random Data 3,86,114,86,114,1.2,8.8,8.92,2.14,49.47,39.59,37.9,48.75,63.0
Random Data 4,85,115,85,115,1.12,8.55,8.36,1.99,49.55,38.75,36.59,48.98,64.38
Random Data 5,87,113,87,113,1.05,8.25,8.04,1.94,49.57,38.53,36.22,49.04,65.12
Random Data 6,88,112,88,112,1.36,8.78,9.09,2.37,49.28,39.77,38.17,48.5,62.5
Random Data 7,92,108,92,108,1.16,8.47,9.1,2.25,49.42,39.81,38.05,48.56,62.75
Random Data 8,84,116,84,116,1.04,8.83,8.64,1.93,49.57,38.71,36.64,48.93,64.0
Random Data 9,86,114,86,114,1.2,8.7,8.86,2.21,49.37,38.97,36.98,48.76,63.5
Random Data 10,82,118,82,118,1.26,9.14,9.17,2.15,49.39,38.96,37.06,48.8,63.0
5% change A,91,109,91,109,3.22,8.39,8.69,4.26,47.82,41.86,40.8,47.04,60.88
5% change B,96,104,96,104,2.77,7.78,8.57,3.95,48.32,41.2,39.42,47.5,63.0
5% change C,94,106,94,106,3.0,8.16,8.89,4.13,48.06,41.21,39.69,47.22,61.75
