random data 1,200,200,5.12,5.12,37.1,37.1,37.0
Random Data 2,200,200,5.1,5.1,37.14,37.14,37.0
Random Data 3,200,200,5.39,5.39,36.96,36.96,37.0
Random Data 4,200,200,5.32,5.32,37.22,37.22,37.0
Random Data 5,200,200,5.5,5.5,37.46,37.46,37.0
Random Data 6,200,200,5.24,5.24,36.7,36.7,37.0
Random Data 7,200,200,5.25,5.25,36.85,36.85,37.0
Random Data 8,200,200,5.15,5.15,37.02,37.02,37.0
Random Data 9,200,200,5.01,5.01,36.82,36.82,37.0
Random Data 10,200,200,4.86,4.86,36.61,36.61,37.0
5% change A,188,188,9.0,9.0,33.54,33.54,37.0
5% change B,186,186,9.58,9.58,33.89,33.89,37.0
5% change C,194,194,7.74,7.74,35.08,35.08,37.0
