random data 1,172,200,200,187,2.81,5.83,4.51,3.76,54.34,52.66,53.82,53.56,51.5
Random Data 2,172,200,200,188,2.81,5.89,4.29,3.7,54.41,52.64,53.92,53.63,51.5
Random Data 3,169,200,200,184,2.95,5.94,4.81,4.07,53.94,52.48,53.58,53.23,51.5
Random Data 4,167,200,200,188,2.84,6.27,4.27,3.93,54.23,52.24,53.92,53.71,51.5
Random Data 5,165,200,200,182,2.81,6.34,5.15,3.74,54.36,52.11,53.38,53.71,51.5
Random Data 6,175,200,200,184,3.23,5.37,4.97,4.19,53.97,52.98,53.54,53.01,51.5
Random Data 7,169,200,200,189,3.08,6.17,4.08,4.19,53.93,52.38,54.02,53.37,51.5
Random Data 8,171,200,200,186,2.78,5.91,4.57,3.79,54.19,52.59,53.75,53.41,51.5
Random Data 9,171,200,200,193,3.0,6.13,3.4,4.11,54.07,52.49,54.36,53.54,51.5
Random Data 10,179,200,200,188,2.95,5.05,4.27,3.87,54.11,53.28,53.92,53.07,51.5
5% change A,166,200,200,179,4.68,5.66,4.95,5.87,52.67,52.5,53.33,52.06,51.5
5% change B,163,200,200,173,4.44,5.7,5.48,5.38,53.32,52.36,52.86,52.55,51.5
5% change C,164,200,200,180,4.53,6.19,5.14,5.65,52.89,52.16,53.31,52.36,51.5
